"","source","target","date_followed","year","month","day"
"286",301,297,"2007-03-12 20:00:59","2007","03","12"
"287",297,301,"2007-03-12 20:00:59","2007","03","12"
"288",289,291,"2007-03-12 20:01:14","2007","03","12"
"289",291,289,"2007-03-12 20:01:14","2007","03","12"
"290",289,305,"2007-03-12 20:01:34","2007","03","12"
"291",305,289,"2007-03-12 20:01:34","2007","03","12"
"292",304,295,"2007-03-12 20:01:55","2007","03","12"
"293",295,304,"2007-03-12 20:01:55","2007","03","12"
"294",311,295,"2007-03-12 20:01:57","2007","03","12"
"295",295,311,"2007-03-12 20:01:57","2007","03","12"
"296",304,307,"2007-03-12 20:02:08","2007","03","12"
"297",307,304,"2007-03-12 20:02:08","2007","03","12"
"298",289,273,"2007-03-12 20:02:10","2007","03","12"
"299",273,289,"2007-03-12 20:02:10","2007","03","12"
"300",118679,51153,"2008-06-16 16:39:46","2008","06","16"
"301",115807,115498,"2008-06-16 16:39:57","2008","06","16"
"302",115807,118679,"2008-06-16 16:40:06","2008","06","16"
"303",115807,124728,"2008-06-16 16:40:26","2008","06","16"
"304",118679,11646,"2008-06-16 16:40:40","2008","06","16"
"305",118679,23951,"2008-06-16 16:41:25","2008","06","16"
"306",118679,47775,"2008-06-16 16:41:34","2008","06","16"
"307",118679,67300,"2008-06-16 16:41:57","2008","06","16"
"308",117885,34286,"2008-06-16 16:46:03","2008","06","16"
"309",124164,94333,"2008-06-16 16:46:38","2008","06","16"
"310",124164,114653,"2008-06-16 16:46:55","2008","06","16"
"311",124164,116200,"2008-06-16 16:47:12","2008","06","16"
"312",118679,46779,"2008-06-16 16:47:42","2008","06","16"
"313",124164,112059,"2008-06-16 16:48:02","2008","06","16"
"314",120333,11646,"2008-06-16 16:48:21","2008","06","16"
"315",125730,116895,"2008-06-16 16:48:56","2008","06","16"
"316",118679,66448,"2008-06-16 16:49:16","2008","06","16"
"317",118679,19581,"2008-06-16 16:49:24","2008","06","16"
"318",118679,22154,"2008-06-16 16:49:40","2008","06","16"
"319",124164,113460,"2008-06-16 16:52:32","2008","06","16"
"320",124164,97750,"2008-06-16 16:52:38","2008","06","16"
"321",95181,126594,"2008-06-16 16:53:31","2008","06","16"
"322",114373,122903,"2008-06-16 16:54:20","2008","06","16"
"323",120606,123451,"2008-06-16 16:55:00","2008","06","16"
"324",122466,72275,"2008-06-16 17:02:36","2008","06","16"
"325",122466,52446,"2008-06-16 17:04:44","2008","06","16"
"326",67626,118081,"2008-06-16 17:18:34","2008","06","16"
"327",67626,41686,"2008-06-16 17:18:51","2008","06","16"
"328",113758,59511,"2008-06-16 17:19:15","2008","06","16"
"329",113758,60154,"2008-06-16 17:19:30","2008","06","16"
