source,target,date_followed
89986,91112,2008-06-16 18:18:30
18583,113758,2008-06-16 18:18:30
108812,126621,2008-06-16 18:21:49
72275,126622,2008-06-16 18:26:13
126621,34119,2008-06-16 18:29:19
115321,125774,2008-06-16 18:30:27
72275,95063,2008-06-16 18:31:29
112361,46855,2008-06-16 18:32:56
126325,18757,2008-06-16 18:39:01
126325,49156,2008-06-16 18:39:51
126325,122903,2008-06-16 18:39:58
95063,109532,2008-06-16 18:40:55
95063,125113,2008-06-16 18:41:21
109290,16791,2008-06-16 18:41:29
98352,106616,2008-06-16 18:41:34
72275,126632,2008-06-16 18:43:55
126325,87085,2008-06-16 18:44:18
126325,126632,2008-06-16 18:44:48
112361,72570,2008-06-16 18:45:00
86533,86728,2008-06-16 18:45:16
72275,61739,2008-06-16 18:45:52
72275,33514,2008-06-16 18:48:22
78204,113369,2008-06-16 18:49:53
121558,124441,2008-06-16 18:50:20
83960,42111,2008-06-16 18:52:00
83960,64711,2008-06-16 18:53:22
66448,32995,2008-06-16 18:55:34
98352,76227,2008-06-16 19:01:51
66448,48576,2008-06-16 19:04:13
72275,124702,2008-06-16 19:04:32
126641,125928,2008-06-16 19:05:40
37363,32995,2008-06-16 19:05:46
18757,87003,2008-06-16 19:10:45
72275,64647,2008-06-16 19:10:57
64647,72275,2008-06-16 19:11:44
72275,85723,2008-06-16 19:12:18
66448,33237,2008-06-16 19:12:24
124013,120604,2008-06-16 19:12:25
126095,122903,2008-06-16 19:13:15
287878,19349,2009-06-30 20:03:56
287878,76185,2009-06-30 20:04:12
287878,128458,2009-06-30 20:04:16
287878,34908,2009-06-30 20:04:28
287878,230640,2009-06-30 20:04:39
287878,68037,2009-06-30 20:04:55
287878,43746,2009-06-30 20:05:03
287878,114373,2009-06-30 20:05:11
287878,73237,2009-06-30 20:05:25
287878,189,2009-06-30 20:05:33
302912,272878,2009-06-30 20:05:57
287878,252057,2009-06-30 20:09:11
287878,130068,2009-06-30 20:09:23
287878,210849,2009-06-30 20:09:33
287878,193851,2009-06-30 20:09:55
287878,147278,2009-06-30 20:10:50
287878,44795,2009-06-30 20:11:06
287878,142,2009-06-30 20:11:43
287878,12446,2009-06-30 20:11:50
218306,157129,2009-06-30 20:14:15
136261,269028,2009-06-30 20:16:46
304849,60945,2009-06-30 20:18:30
268330,150311,2009-06-30 20:21:36
251289,318759,2009-06-30 20:42:08
